date;temperature;precipitation;humidity;evaporation;GTK
2021-06-12;14.838;0.0;38.25;5.88;0.0
2021-06-13;14.988;3.0;61.625;3.682;2.002
2021-06-14;17.95;0.3;54.125;5.078;0.167
2021-06-15;20.575;0.0;50.75;6.138;0.0
2021-06-16;24.662;0.0;42.625;8.49;0.0
2021-06-17;24.475;0.0;43.875;8.243;0.0
2021-06-18;25.438;0.0;45.625;8.3;0.0
2021-06-19;19.85;0.0;59.25;4.918;0.0
2021-06-20;11.05;0.8;65.75;2.671;0.724
2021-06-21;12.7;4.6;71.5;2.43;3.622
2021-06-22;12.275;11.0;86.875;1.094;8.961
2021-06-23;13.85;1.0;69.625;2.751;0.722
2021-06-24;13.0;3.0;77.125;1.982;2.308
2021-06-25;13.375;7.0;76.0;2.121;5.234
2021-06-26;16.087;0.0;62.0;3.849;0.0
2021-06-27;18.412;0.0;53.375;5.272;0.0
2021-06-28;16.188;12.6;78.25;2.214;7.784
2021-06-29;19.15;0.0;62.75;4.357;0.0
2021-06-30;17.962;3.6;80.0;2.215;2.004
2021-07-01;20.525;0.0;64.5;4.272;0.0
2021-07-02;20.538;0.0;46.625;6.427;0.0
2021-07-03;24.037;0.0;53.5;6.493;0.0
2021-07-04;26.55;0.0;62.5;5.786;0.0
2021-07-05;28.325;0.0;55.5;7.347;0.0
2021-07-06;25.788;0.0;62.25;5.654;0.0
2021-07-07;15.975;20.4;65.25;3.388;12.77
2021-07-08;17.45;0.0;52.75;4.944;0.0
2021-07-09;20.2;0.0;54.625;5.383;0.0
2021-07-10;21.662;0.0;53.75;5.847;0.0
2021-07-11;22.225;0.0;48.25;6.701;0.0
2021-07-12;22.862;0.0;51.25;6.484;0.0
2021-07-13;23.1;0.0;59.25;5.474;0.0
2021-07-14;22.75;0.6;58.75;5.461;0.264
2021-07-15;16.888;5.0;70.0;3.056;2.961
2021-07-16;17.138;0.0;52.75;4.871;0.0
2021-07-17;16.95;2.0;70.625;3.002;1.18
2021-07-18;17.088;3.0;81.125;1.941;1.756
2021-07-19;17.325;0.0;72.375;2.873;0.0
2021-07-20;20.125;0.0;62.125;4.478;0.0
2021-07-21;21.738;0.0;53.0;5.961;0.0
2021-07-22;22.925;0.0;52.875;6.285;0.0
2021-07-23;25.062;0.0;45.125;7.986;0.0
2021-07-24;23.488;0.0;58.125;5.716;0.0
2021-07-25;24.488;0.0;66.0;4.835;0.0
2021-07-26;23.538;5.0;68.75;4.275;2.124
2021-07-27;16.938;0.0;59.75;4.11;0.0
2021-07-28;17.375;0.0;58.625;4.314;0.0
2021-07-29;19.788;0.0;52.875;5.489;0.0
2021-07-30;19.9;0.0;53.625;5.429;0.0
2021-07-31;20.2;0.0;47.875;6.183;0.0
2021-08-01;24.038;0.0;42.125;8.081;0.0
2021-08-02;22.55;0.0;58.5;5.448;0.0
2021-08-03;21.062;1.0;64.125;4.42;0.475
2021-08-04;19.7;0.0;66.875;3.843;0.0
2021-08-05;18.3;0.3;73.0;2.939;0.164
2021-08-06;17.375;12.0;84.5;1.616;6.906
2021-08-07;19.525;0.0;75.25;2.849;0.0
2021-08-08;21.188;0.0;69.625;3.762;0.0
2021-08-09;21.575;1.1;74.0;3.275;0.51
2021-08-10;21.538;0.7;66.625;4.197;0.325
2021-08-11;18.2;24.4;81.75;1.978;13.407
2021-08-12;17.175;4.0;85.625;1.485;2.329
2021-08-13;12.688;0.0;78.5;1.773;0.0
2021-08-14;14.7;0.0;76.125;2.185;0.0
2021-08-15;17.9;0.0;64.625;3.78;0.0
2021-08-16;20.088;0.0;61.625;4.53;0.0
2021-08-17;21.525;0.0;60.125;5.012;0.0
2021-08-18;20.075;0.0;58.125;4.94;0.0
2021-08-19;19.288;0.8;62.5;4.271;0.415
2021-08-20;16.188;0.0;58.875;4.051;0.0
2021-08-21;13.462;0.0;55.5;3.822;0.0
2021-08-22;16.087;0.0;56.375;4.276;0.0
2021-08-23;19.525;0.0;65.75;3.943;0.0
2021-08-24;20.038;0.0;68.5;3.71;0.0
2021-08-25;21.912;0.0;55.125;5.734;0.0
2021-08-26;23.188;0.0;50.125;6.725;0.0
2021-08-27;23.2;0.0;49.875;6.762;0.0
2021-08-28;21.575;0.0;54.25;5.762;0.0
2021-08-29;19.825;0.0;72.125;3.252;0.0
2021-08-30;15.238;2.0;82.75;1.622;1.313
2021-08-31;11.575;0.1;67.75;2.505;0.086
2021-09-01;12.962;1.0;71.25;2.486;0.771
2021-09-02;13.488;0.0;64.875;3.122;0.0
2021-09-03;14.075;0.0;55.25;4.1;0.0
2021-09-04;16.588;0.0;53.0;4.877;0.0
2021-09-05;18.438;0.0;47.625;5.929;0.0
2021-09-06;19.138;0.0;50.75;5.757;0.0
2021-09-07;17.95;0.0;54.0;5.091;0.0
2021-09-08;15.225;1.0;71.75;2.743;0.657
2021-09-09;11.55;2.0;66.5;2.685;1.732
2021-09-10;11.562;2.1;66.125;2.717;1.816
2021-09-11;13.575;2.0;67.0;2.946;1.473
2021-09-12;10.138;13.5;73.0;2.0;13.317
2021-09-13;8.45;0.0;63.125;2.476;
2021-09-14;8.012;3.0;72.25;1.815;
2021-09-15;13.438;7.0;70.875;2.582;5.209
2021-09-16;16.05;0.0;55.375;4.512;0.0
2021-09-17;17.512;0.0;48.25;5.612;0.0
2021-09-18;10.775;6.0;69.0;2.381;5.568
2021-09-19;9.6;0.6;66.75;2.388;
2021-09-20;4.962;1.0;80.0;1.077;
2021-09-21;5.025;4.0;80.25;1.068;
2021-09-22;3.962;1.1;80.375;0.988;
2021-09-23;4.3;1.5;84.25;0.811;
2021-09-24;3.662;0.0;73.0;1.331;
2021-09-25;4.512;2.4;81.5;0.967;
2021-09-26;2.4;1.2;82.25;0.8;
2021-09-27;5.388;0.4;76.875;1.281;
2021-09-28;3.912;0.0;70.25;1.492;
2021-09-29;3.088;3.0;81.25;0.888;
2021-09-30;4.212;1.7;86.5;0.691;
2021-10-01;4.212;2.8;85.25;0.731;
2021-10-02;2.775;5.0;88.125;0.532;
2021-10-03;2.238;0.4;83.125;0.727;
2021-10-04;2.4;4.0;88.0;0.523;
2021-10-05;2.475;7.0;86.5;0.592;
2021-10-06;4.662;0.0;57.0;2.197;
2021-10-07;1.862;0.0;72.875;1.137;
2021-10-08;6.1;0.7;80.0;1.123;
2021-10-09;7.675;0.0;64.75;2.185;
2021-10-10;5.912;0.0;64.625;1.963;
2021-10-11;1.588;2.0;67.5;1.334;
2021-10-12;0.05;0.0;53.625;1.69;
2021-10-13;1.525;0.0;59.25;1.665;
2021-10-14;3.85;0.0;72.625;1.323;
2021-10-15;4.088;0.0;59.875;1.971;
2021-10-16;4.988;0.0;63.25;1.919;
2021-10-17;3.425;0.0;75.375;1.155;
2021-10-18;4.975;0.0;71.375;1.493;
2021-10-19;6.525;0.0;62.5;2.164;
2021-10-20;7.862;0.0;51.5;3.041;
2021-10-21;9.062;0.0;48.125;3.495;
2021-10-22;5.9;0.0;56.25;2.426;
2021-10-23;3.9;1.0;66.5;1.625;
2021-10-24;8.75;0.0;70.375;1.959;
2021-10-25;9.538;0.0;59.25;2.822;
2021-10-26;7.85;0.0;56.375;2.733;
2021-10-27;0.137;0.0;51.25;1.789;
2021-10-28;-0.588;0.0;55.875;1.527;
2021-10-29;2.65;0.0;53.5;2.064;
2021-10-30;-0.4;0.9;62.375;1.322;
2021-10-31;-1.238;6.0;84.5;0.508;
2021-11-01;-3.15;4.0;82.875;0.491;
2021-11-02;-8.512;7.4;80.125;0.324;
2021-11-03;-16.025;0.0;77.125;0.111;
2021-11-04;-14.988;0.4;76.625;0.141;
2021-11-05;-8.088;0.8;80.25;0.339;
2021-11-06;-4.062;3.0;79.875;0.529;
2021-11-07;-1.162;0.0;72.25;0.946;
2021-11-08;0.175;0.0;58.75;1.569;
2021-11-09;-0.725;0.0;62.625;1.321;
2021-11-10;1.25;0.0;56.875;1.783;
2021-11-11;1.1;10.3;87.5;0.511;
2021-11-12;0.4;6.0;91.5;0.329;
2021-11-13;-0.462;5.5;82.875;0.619;
2021-11-14;-1.388;2.9;84.875;0.506;
2021-11-15;-1.612;1.6;85.75;0.468;
2021-11-16;-10.338;1.9;81.875;0.234;
2021-11-17;-13.475;0.0;83.625;0.131;
2021-11-18;-9.925;0.8;79.5;0.28;
2021-11-19;-15.95;0.0;72.625;0.135;
2021-11-20;-11.362;2.0;75.75;0.271;
2021-11-21;-7.15;0.0;55.375;0.853;
2021-11-22;-2.887;0.0;64.625;1.038;
2021-11-23;-0.388;2.0;82.625;0.632;
2021-11-24;-3.662;0.5;70.625;0.802;
2021-11-25;-5.762;5.8;86.875;0.291;
2021-11-26;-14.0;2.0;81.375;0.135;
2021-11-27;-10.412;2.0;82.0;0.23;
2021-11-28;-6.2;1.9;81.125;0.4;
2021-11-29;-8.975;0.0;73.125;0.414;
2021-11-30;-8.662;0.0;67.875;0.514;
2021-12-01;-9.738;0.0;76.0;0.325;
2021-12-02;-7.338;0.0;70.875;0.528;
2021-12-03;-0.475;6.0;68.0;1.118;
2021-12-04;-3.7;1.5;79.75;0.533;
2021-12-05;-1.925;0.2;86.125;0.429;
2021-12-06;-2.975;0.0;86.875;0.37;
2021-12-07;-2.825;2.5;82.25;0.507;
2021-12-08;-17.662;0.0;77.875;0.069;
2021-12-09;-20.213;0.2;75.25;0.033;
2021-12-10;-14.938;2.0;79.375;0.121;
2021-12-11;-8.062;0.0;66.375;0.56;
2021-12-12;-12.35;0.0;71.125;0.268;
2021-12-13;-15.238;4.2;81.75;0.101;
2021-12-14;-15.838;0.9;78.375;0.105;
2021-12-15;-15.888;0.3;78.875;0.102;
2021-12-16;-7.512;5.0;85.25;0.262;
2021-12-17;-4.938;4.5;85.125;0.348;
2021-12-18;-2.925;2.8;83.875;0.456;
2021-12-19;-7.675;0.0;75.375;0.429;
2021-12-20;-6.412;3.3;85.0;0.301;
2021-12-21;-7.875;0.3;82.125;0.304;
2021-12-22;-3.825;0.2;83.25;0.436;
2021-12-23;-6.875;0.7;80.125;0.379;
2021-12-24;-0.587;0.7;76.5;0.813;
2021-12-25;-7.862;0.0;87.0;0.222;
2021-12-26;-8.088;1.3;80.0;0.332;
2021-12-27;-6.162;2.0;87.5;0.258;
2021-12-28;-10.9;0.5;78.125;0.253;
2021-12-29;-7.712;2.4;79.25;0.36;
2021-12-30;-16.438;2.2;79.125;0.089;
2021-12-31;-20.312;0.5;74.75;0.032;
2022-01-01;-14.225;1.0;75.75;0.163;
2022-01-02;-15.9;0.0;71.75;0.136;
2022-01-03;-9.688;0.0;70.625;0.4;
2022-01-04;-3.275;0.0;70.625;0.805;
2022-01-05;-5.625;0.0;73.75;0.572;
2022-01-06;-13.612;0.2;76.5;0.177;
2022-01-07;-12.038;0.0;74.75;0.246;
2022-01-08;-7.662;0.7;83.375;0.29;
2022-01-09;-1.688;5.0;85.125;0.469;
2022-01-10;-11.062;0.3;77.0;0.259;
2022-01-11;-15.45;0.2;78.5;0.114;
2022-01-12;-15.75;0.0;77.75;0.111;
2022-01-13;-20.338;0.2;77.75;0.028;
2022-01-14;-21.8;0.0;77.25;0.014;
2022-01-15;-10.362;0.3;81.125;0.235;
2022-01-16;-6.062;2.0;72.25;0.578;
2022-01-17;-1.162;1.0;73.375;0.878;
2022-01-18;-10.088;0.0;76.625;0.302;
2022-01-19;-12.512;0.2;84.625;0.139;
2022-01-20;-16.312;0.0;82.375;0.077;
